ccode,dem_rank14,dem_score14,lifeex_f,lifeex_m,unmort_f,unmort_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,ungr9095,fertility,untfr95,govregrel,gri_08r,gfi2008,gfi_08r,msri2008,msri_08r,spendeduc,ciaedex,spendhealth,spendmil,unexp_rd,hdi,hdi05,hdi_rank_change,pop_age,sexratio,unsexr10,unsexr90,pop_total,unpop30,unpop90,pop_urban,urban03,urban06,unemrt08,unemrt91,unin_inc,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,confidence,dem_other,democ11,durable,effectiveness,dnpp_3,fhrate04_rev,fhrate08_rev,frac_eth,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,gdp08,gdp_10_thou,gdppcap08,gdppcap08_3,gini04,gini04_4,gini08,gini10,indy,polity,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,dem_economist,democyes,vdem_ldi_rank,vdem_ldi,vdem_edi,vdem_liberal_comp,vdem_equality_comp,vdem_partic_comp,vdem_delib_comp,coup_attempts,coups,frac_lang,frac_relig,educ_f_avgyrs,educ_m_avgyrs,educ_f_none,educ_m_none,democ_bin_bmr,rights_assn,rights_dommov,rights_formov,rights_injud,rights_relfree,rights_speech,rights_wecon,rights_wopol,rights_worker,dpi_cemo,dpi_pr,dpi_system,global_social,unco2_06,carbon_footprint,eco_footprint,liberty_index_eiu,envir_treaty,govt_help_cap,human_flight,rights_law_index,refugees_impact,democ_fh_polity,laws_protect_prop,bribe_judge,bribe_police,pol_terror_scale_ai,pol_terror_scale_hrw,indep_judiciary,const_age,govt_quality,media_access_cand,media_access_parties,press_freedom_fh,legal_quality,legal_origin,election_violence_pre,election_violence_post,ocean_health,election_integrity,gas_production,oil_production,press_freedom_rsf,corrupt_perception,conflict_internal,conflict_internat,human_develop,terror_index_voh,violence_cost,conflict_index,militarization,soldiers_percent,soldiers_total,energy_renew_percent,business_starts,debt_wdi,spendmil_wdi,immigrants_percent,migration_net,infant_mortality,refugees_in,refugees_from,self_employed,unemployed,hiv_percent,econ_compete,schools_internet,judicial_indep_wef,organized_crime,educ_quality,happiness,rights_treaties,icc_treaty_ratified,trade_percent_gdp,peace_index_rank,peace_index_score,internet_freedom,imprisonment_rate,homicide_rate,autoc,ciagdpag,ciagdpin,ciagdpsv,ciainfla,ciaingro,ciapop,ciapopgr,ciaunemp,decentralization,enpp_3,old06,old2003,pop03,pop08,poverty,unfempf,ungdp,ungdpcap,ungdpppp,unineduc,unjourn,unlit,unmobcov,unnewsp,unnoncom,unsathlt,unsati,unsatif,unsatjob,unsatliv,unseced,yng2003,young06,regionun,country,cabrv,dem_level4,i_gvtreg,i_gvtfav,i_socreg,religion,colony,decent08,dem_other5,democ,democ_regime,democ_regime08,district_size3,enpp3_democ,enpp3_democ08,eu,frac_eth2,frac_eth3,free_overall_4,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gender_equal3,hi_gdp,muslim,natcode,oecd,pmat12_3,pr_sys,protact3,regime_type3,vi_rel3,womyear2,death_penalty_status,internet_status,civil_war,democ08,pop08_3,popcat3,region,typerel,unname
50,85,5.78,71.65,67.93,230,247,47.9,5733,34.3,61.1,4.7,2,2.6,4,6.111,6,4.167,4,10,10,2.4,2.4,1.1,1,,.469,.432,1,24.5,103.6,103.6,103.2,164.4,203.2,115.6,28.1,26.7732,25.54,67.9,74,.299,.734,116,19,69.75,39.3,71.644,58.3,6,9,34.043,1,4,6,.045,59.4,21,20,72.8,93.9,45,53.8,66.6,20,58,51.1,213.5,.035,1334,1,31.8,1,33.4,31,1971,5,0,4.3,456,.3,40,56,11.3,,63.05,2,18.6,,19.7,1972,0,100,136,.163,.367,.316,.333,.358,.372,6,3,.092,.209,4.453,5.448,46.637,37.485,1,1,1,2,0,1,1,1,2,0,0,0,2,23.92,.3,.26,.72,7.06,58,7,7.2,8,6.9,6.42,3.018,.621,.715,4,4,0,1,.444,0,1,4.857,.404,1,,,65.99,3.063,150.809,199200,42.01,27,0,1,.5667,5.47,4.1,1.691,1.057,.286,220950,.201,.09,,1.185,.716,-2226481,33.5,231145,9839,60.4,4.5,.1,3.707336,2.845,2.435,4.43,3.259,4.66,12,1,37.95,84,2.035,44,48,2.7,1,45,30,25,8.1,6.4,158570535,1.566,4.8,,1,3.659636,3.353247,1.38e+08,160,40,.8,79.6,497,213.5,.219,0,55,90,,730,73,5.3,5.4,76,63,16.7,35.47061,35.01911,2,11,14,3,3,3,1,3,4,3,4,1,2,1,3,1,,2,2,2,2,2,2,2,2,2,2,2,2,11,1,2,1,1,2,3,2,4,2,3,2,3,1,2,3,11
112,125,3.69,77.18,65.57,111,330,99.6,31400,14.2,71.7,14.1,0,1.26,1.7,7.778,8,3,3,10,10,5.2,4.5,4.9,1.5,1,.732,.706,1,38.2,106.1,106.1,105.1,9.6,8.6,10.3,74.7,69.9056,72.68,57.5,57.5,.599,,,21,71.2,,15.646,63,0,4,22.222,,1.5,1,.322,72.1,20,10,85.2,32,20,84.8,62.6,20,80.3,48.7,118.7,.144,12261,2,30.4,1,29.7,28.8,1991,-7,0,96.1,1553,32.1,17.4,46,.7,,64.45,,,,26.6,1919,0,0,147,.125,.298,.273,.856,.249,.245,0,0,.467,.612,,,,,0,0,1,1,0,0,0,1,2,0,0,0,0,62.808,7.1,2.57,5.09,2.35,67,6,3.7,8.1,3.6,1.17,,.198,.248,2,3,0,1,.361,1,1,,.369,,0,1,,,1.385,1494000,48.35,29,,,.7961,2.78,6.5,1.805,2.012,3.525,158000,.021,1.05,25.224,1.321,11.49,120535,3.8,604,4444,,6,,,,,,,5.876,10,0,125.42,103,2.141,38,314,5.1,7,9,42.9,48.1,7,10.5,9577552,-.363,1,1.24,,14.6322,14.03502,9880963,9.7,27.1,,60.3,6230,118.8,.683,0,99.7,99,81,854,55,5.5,5.5,66,34,,16.83378,14.73594,4,12,18,1,1,2,1,5,7,3,4,1,1,1,3,,,2,2,3,2,2,3,1,3,1,,2,1,12,1,2,1,3,1,2,1,4,1,3,2,1,2,3,4,12
56,26,7.93,82.81,76.35,61,110,99,11220,15.9,66.1,18,.3,1.65,1.6,.833,1,7.6,8,5.333,5,6.1,6.01,7,1.2,1.9,.867,.858,-1,41.3,104.8,104.8,105.5,10.7,11.3,9.9,97.4,97.5114,97.22,46.5,43.8,.701,.236,6,22,79.51,98.6,43.315,100,8,55,90.307,3,7,12,.555,92.9,73,70,42.2,30,80,67.1,77.9,80,87.5,70.1,369.2,2.375,34493,3,25,1,33,33,1830,8,1,38.1,142,68.1,,973,2.1,86,82.43,34.7,35.3,38,38,1919,1,100,15,.794,.864,.919,.9,.64,.937,0,0,.541,.213,10.538,11.021,5.454,4.511,1,2,2,2,2,1,1,2,3,2,0,1,2,90.45,10.3,4.43,7.44,9.41,222,4,1.9,1.5,1.6,9.5,7.133,.059,.037,1,1,1,1,.889,0,1,9.883,.798,2,0,0,71.52,8.667,0,0,12.94,75,0,2,.8881,1.03,5.2,1.092,1.587,.757,37500,20.816,2.05,89.629,1.003,8.927,269998,3.4,25633,78,15.1,8.4,.3,5.134751,5.682,5.426,5.989,5.318,7.104,16,1,166.52,19,1.525,,94,1.6,0,.7,22.1,77.2,2.3,4,10431477,.071,8.5,1.38,3,17.61054,16.74956,1.04e+07,10.7,15.2,1.03,504.2,47085,377.3,.784,0,,100,165,437,88,7.3,7.3,89,84,47.7,16.96234,16.64644,4,13,11,4,2,1,3,2,3,,2,2,2,2,1,3,3,1,1,3,1,1,1,1,1,1,1,1,1,13,2,1,2,1,2,1,1,1,,3,1,1,2,8,6,13
,,,,,129,223,,,,,,3,,4.4,,0,2.067,2,0,0,,5.7,,,,,.69,-9,22.3,102.6,,103.1,,.4,.2,52.3,48.3762,48.52,47.3,47.3,.282,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,18.1,71.7,4.1,1.4,321115,2.056,13.1,,1,4.273594,4.411486,273700,.3,43,1.04,1.4,4218,2.2,.545,0,,,,677,83,6.6,6.6,79,69,24.5,37.65944,36.15998,5,14,,,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,3,6,6,14
204,90,5.65,61.14,58.61,291,312,34.7,0,44.7,52.6,2.7,3.5,5.31,6.6,0,0,0,0,.667,1,3.6,3.5,2.5,1.1,,.435,.418,0,18.4,103.8,103.8,103.1,9.2,15.4,4.8,42,44.542,40.5,71.6,70.1,.276,.759,127,24,59.84,,,40.8,7,9,31.915,3,6,10,.787,42.3,31,50,75.9,85.2,60,47.8,74.6,30,57,55.4,12.7,.041,1468,1,,,36.5,38.6,1960,7,0,,967,1.8,39,31,4.1,61.83,63.98,7.2,10.8,8.4,8.4,1956,0,100,42,.633,.731,.867,.834,.603,.928,8,6,.791,.554,2.06,4.551,75.555,52.623,1,1,2,0,1,2,1,1,2,1,0,1,0,23.287,.4,.51,1.41,5.88,75,6.9,6.5,5.1,6.3,8.42,4.219,,,1,2,1,1,,1,1,6.727,.492,2,0,3,58.83,7.75,0,0,28.33,36,0,1,.4774,0,7.8,1.418,2.052,.219,9450,0,,,.944,2.44,-10000,67.2,194,305,88.9,1,1.2,3.446007,2.035,2.738,4.634,3.247,3.479,13,1,70.2,79,2.014,,67,8.4,0,33.2,14.5,52.3,1.6,3,9325032,2.911,,,3,2.723884,2.665092,6720250,8.7,37.4,,6.7,771,12.8,.202,0,40.8,80,0,835,63,3,2.9,53,23,9.8,44.96803,43.94411,1,15,12,3,4,4,2,2,2,1,3,2,2,2,2,3,3,2,1,1,4,2,2,2,2,2,,2,1,14,1,,2,,3,,2,1,,3,1,1,2,1,8,15
64,102,4.87,68.19,66.46,197,256,47,0,28.9,65.3,5.7,-1.5,2.2,5.4,4.167,4,7.6,8,2,2,5.1,4.8,3.3,,,,,,24.2,103,103,102.3,.7,.9,.5,34.7,7.907,11.44,61.1,53.3,,,,26,67.3,57.8,,58.3,3,93,68.558,,2.5,5,.605,60.5,52,30,84.1,58.3,15,85.1,73.4,60,52,57,3.3,.07,4755,2,,,,38.7,1949,3,0,,1900,6.6,,,,,,,,8.5,8.5,1953,0,0,79,.451,.544,.805,.812,.546,.78,0,0,.606,.379,,,,,0,0,0,2,2,1,2,2,2,0,0,0,0,32.517,.6,.63,4.84,3.53,20,6,7.1,7,7.2,6.67,6.626,,,,2,0,1,,1,1,,.485,1,,,,7,0,0,28.42,63,0,2,.5951,.31,5.9,1.041,1.233,,,,.06,,,5.588,10000,29.5,,31567,72.5,2.9,.3,3.731486,3.839,4.803,5.863,4.269,5.569,4,0,81.54,13,1.474,,145,1.7,0,17.6,45,37.4,4.3,,708427,1.201,4,,,4.648372,4.07703,873662.6,.7,23.2,.35,1.3,1869,3.3,,0,52.8,21,,708,,,,,,,42.59955,37.8486,2,16,21,3,3,1,2,1,4,,4,2,1,2,3,,,2,1,1,4,2,2,2,3,2,,2,1,15,1,,1,,1,,2,1,,,1,2,3,2,7,16
68,83,5.79,70.42,64.84,163,230,86.7,43740,34.6,60.7,4.6,2.3,3,4.8,0,0,8.333,8,.667,1,6.3,6.3,3.4,1.5,.3,.643,.631,-3,21.9,104.1,104.1,103.6,10,13,6.7,66.6,64.0016,64.66,61.4,61.4,.232,.672,96,27,67.57,39.7,,87.5,7,18,34.043,3,5,8,.74,57.3,30,50,84.3,67.5,15,39.4,63.2,10,76.9,49.4,41.4,.089,4278,2,44.7,3,60.1,57.2,1825,7,0,16.4,775,10.8,37.7,118,6.9,63.44,56.15,19.2,16.9,25.4,25.4,1938,0,100,85,.407,.613,.605,.643,.567,.726,23,11,.224,.208,7.051,8.673,19.478,7.24,1,1,2,2,0,2,1,1,3,1,0,1,0,35.944,1.2,.67,2.96,7.65,77,5.9,6.1,6,4.3,7.58,4.501,.374,.521,1,2,0,0,.446,0,1,5.675,.437,2,,,,6.909,142.431,2365114,32.8,34,,,.658,.43,9.6,1.403,2.018,1.656,83200,2.379,.57,,1.452,1.47,-61794,32.8,748,601,60.5,2.6,.3,3.842482,3.529,3.104,3.674,3.426,5.767,18,1,56.63,86,2.045,,130,12.1,0,12,38,50,7.2,4,10118683,1.694,6.5,1.48,3,4.576651,4.368956,8814158,9.7,30.3,.63,16.7,1720,41.4,.51,0,90.7,46,,765,79,6.5,6.4,83,67,29.3,38.35107,37.67416,6,17,19,3,4,1,2,2,8,1,5,2,2,2,,3,3,2,1,1,2,2,3,2,2,2,3,2,1,16,1,,1,,3,,1,1,,3,1,1,2,6,6,17
70,103,4.78,82.63,75.25,68,147,96.7,,14,71,15,-5.1,1.27,1.5,.556,1,6.6,7,3.333,3,,,5.6,1.4,0,.71,.698,-4,39.3,106.7,106.7,103.3,3.8,3.5,4.3,48.6,44.3636,46.28,42.3,42.3,.416,,,28,78.81,39,70.204,63,,0,25.296,1,4.5,7,.63,61.3,32,60,83.2,28.8,70,61.2,74.7,10,80.8,56.2,31.7,.136,8390,2,26.2,1,26.2,36.3,1992,,0,,3169,34.7,19.5,725,14.8,,59.67,,,,21.4,,0,0,117,.262,.337,.64,.706,.524,.571,0,0,.675,.685,,,,,1,1,2,0,1,1,1,1,2,0,0,1,2,62.151,7,1.74,3.12,7.35,52,5.5,5.8,6.1,6.8,6.94,5.83,.16,.317,2,2,,1,,1,1,5.208,.406,,1,0,52.3,6.333,0,0,26.86,42,0,1,.7293,1.48,8.2,1.833,1.544,.704,10500,5.435,.83,,1.108,.724,-2506,5.6,6926,26811,25.3,27.4,,4.0153,4.493,3.874,6.037,2.676,5.124,17,1,88.15,84,2.035,,73,1.3,,6.5,28.4,65.1,3.1,1.6,4622163,.008,43.1,,1,14.4418,10.91577,4139835,3.8,18.6,1.01,18.5,4906,30.5,.545,0,97.6,99,,670,75,5.8,,76,39,,17.22288,16.16147,4,18,17,3,2,1,2,3,7,1,4,1,1,1,1,,,2,1,1,4,2,3,1,3,1,,2,2,17,1,2,2,3,1,1,,1,,3,2,2,2,3,3,18
72,28,7.87,57.3,58.78,394,419,81.2,0,33.9,62.2,3.9,2.7,2.5,4.3,0,0,1.833,2,0,0,8.1,8.9,4.3,2.7,.4,.633,.593,2,22.8,101.8,101.8,101.5,2,2.4,1.4,61.1,50.3014,58.16,46,46.7,,.663,91,29,58.05,22.6,,40.8,8,34,67.139,1,6,10,.41,70.5,58,70,74.1,67.1,80,70.8,68.8,70,73.9,70.3,25.5,.308,13392,2,63,4,60.5,61,1966,8,0,11.5,140,6.2,,59,.9,44,44.63,,,,7.9,1965,1,0,54,.577,.685,.836,.682,.579,.793,0,0,.411,.599,8.677,9.06,15.966,15.488,1,2,2,1,2,2,1,2,2,0,0,0,2,38.04,2.6,2.36,3.83,9.41,50,6.4,5.3,4.6,5.5,8.25,6.039,,,,1,0,1,.556,0,0,6.026,.71,1,,,,7.6,0,0,22.91,64,,,.6957,0,23.3,1,1.641,.93,10500,0,13.11,18.715,1.992,5.608,20000,36.4,2773,168,15.6,17.6,23.4,4.133407,3.426,5.305,6.137,3.748,4.128,8,1,105.79,27,1.622,,210,18.4,0,2.3,45.8,51.9,7.1,6.9,2065398,1.656,7.5,.86,1,3.453945,2.305854,1722468,1.9,30.3,.96,13.4,6982,26.1,,0,83.3,99,41,594,67,4.7,4.4,58,41,24.7,41.51864,37.32417,1,19,22,4,4,2,4,7,9,2,3,1,1,1,3,,,2,2,3,1,1,3,1,3,1,3,1,1,18,1,,1,,1,,2,4,,3,1,2,2,1,8,19
76,44,7.38,76.27,68.97,106,210,88.6,2572000,26.2,67,6.7,1.6,2.18,2.6,.833,1,0,0,3.333,3,5.2,5.08,3.5,1.5,1,.699,.678,0,29,104.2,104.2,103.5,195.4,217.1,149.6,86.5,82.7984,84.66,55.7,55.7,.401,.631,80,31,72.53,60.8,32.501,87.5,8,15,41.371,3,5.5,10,.541,54.5,35,50,68.4,50.3,45,57.5,75.8,50,69.2,55.6,2000,.259,10296,2,59.1,4,57,55,1822,8,1,32.1,1341,37.5,21.5,27,.3,83.54,74.71,8.6,9,8.6,8.6,1934,1,100,57,.555,.718,.744,.52,.594,.623,6,4,.047,.605,7.803,7.45,12.168,12.594,1,2,2,2,1,2,1,1,2,1,0,1,0,44.954,1.9,.91,3.11,9.12,113,3.6,3.8,5.6,3.6,8.67,4.882,.016,.057,4,4,0,0,.417,0,1,5.909,.58,2,0,0,,8.769,199.363,1.01e+08,32.75,42,,,.7515,1.62,12.6,1.055,2.229,.658,713480,14.493,2.88,,1.378,.346,15924,14.3,5196,986,26.8,6.5,.3,4.327641,3.6,3.867,3.995,2.979,7.14,15,1,24.61,108,2.199,68,318,25.2,0,6.1,26.4,67.5,4.9,11.5,203429773,1.134,7,2.07,3,6.252626,5.382556,1.77e+08,192,26,1.02,1575.2,8205,1976.6,.47,0,90,91,36,625,82,7.6,7.6,86,74,21.9,27.52018,27.6185,6,20,20,4,2,4,2,2,6,1,5,2,2,2,1,3,3,2,1,3,4,1,3,1,3,1,,1,1,19,1,3,2,1,3,3,1,2,2,3,1,3,1,6,6,20
100,55,6.73,77.41,69.99,91,214,98.2,3227,13.9,67.9,18.2,-1.1,1.42,1.5,5.278,5,7.033,7,10,10,4.1,4.1,4.2,2.4,.5,.743,.724,-1,41.7,105.7,105.7,104.9,7.5,6.5,8.8,71.5,67.5298,70.26,45.2,45.2,.545,.399,36,35,73.59,16.2,38.976,63,9,10,45.154,2,6.5,10,.402,77.8,36,60,86.3,48.3,50,78.1,69.5,30,87.4,62.3,94.5,.194,12393,2,31.9,1,29.2,29.2,1991,9,1,51.4,517,34.7,12.8,346,5.3,62.41,74.17,26.3,20.8,22.9,22.9,1944,1,100,35,.683,.765,.899,.807,.568,.863,0,0,.303,.597,11.44,11.323,2.798,1.65,1,1,2,2,0,1,1,2,2,1,0,1,2,71.367,6.3,2.08,3.32,8.24,126,5.2,4.9,3.7,3.4,8.92,4.929,.111,.164,2,2,0,1,.417,1,1,6.727,.5,3,0,0,64.9,6.331,1.834,49800,28.58,41,0,1,.7792,2.75,7.5,1.028,1.662,1.418,47300,25.279,8.86,17.202,1.617,1.45,-50000,10.1,4320,1880,12.1,12.9,.1,4.308514,4.715,2.601,3.833,3.417,3.993,13,1,124.07,28,1.631,,125,1.9,0,6,30.3,63.7,4.4,.4,7093635,-.781,9.2,1.89,2,16.84624,16.41399,7823000,7.6,21.8,1.03,49.9,6546,89.9,.682,0,98.3,100,79,733,67,4.4,,73,29,87.6,14.38438,13.50429,4,21,15,4,3,1,1,5,7,1,4,2,2,2,1,2,2,2,2,3,3,1,3,1,3,1,,1,1,21,1,2,2,2,2,2,1,1,,3,1,1,2,3,4,21
854,114,4.09,55.71,51.75,361,388,21.8,0,45.8,51.7,2.5,2.8,6.14,6.7,.833,1,0,0,4.333,4,4.6,4.6,3.4,1.4,.1,.305,.285,0,16.7,103.8,103.8,103.5,16.3,27.9,8.8,25.7,17.6154,18.7,81.9,81.6,.231,,,36,53.7,,,40.8,2,20,30.26,1,3.5,6,.738,60,35,50,80.4,80,50,64.4,73,30,71.3,59.4,17.7,.026,1161,1,48.2,4,39.5,39.6,1960,0,0,,1456,.9,46.4,4,.6,,30.15,,,,15.7,1958,0,0,61,.55,.734,.711,.72,.496,.914,8,7,.723,.58,,,,,0,1,2,2,0,2,2,1,2,1,1,1,0,27.17,.1,.12,1.21,4.41,68,7.4,6.6,6.5,7.6,5,3.929,,,3,3,0,1,.361,0,1,6.026,.511,2,0,0,,,0,0,23.7,38,0,1,.3962,.66,5.3,1.418,1.917,.149,11450,,.15,,1.348,6.672,-125000,63.7,29234,1688,,3.3,1.1,3.206125,1.639,2.096,4.631,2.724,3.326,15,1,62.57,91,2.007,,41,8,2,30.1,20.7,49.2,1.4,5.5,16751455,3.085,77,,1,2.690562,2.714631,1.21e+07,15.2,46.4,,7.9,522,17.7,.108,0,28.7,61,,924,70,3.6,3.7,46,27,,46.88384,46.99383,1,22,13,3,2,4,3,3,2,2,3,1,1,1,2,,,2,1,1,3,2,2,2,2,2,,2,2,22,1,,2,,1,,2,3,,3,1,1,2,1,3,22
108,134,3.33,60.52,57.09,401,425,59.3,0,46,51.6,2.5,1.6,6.16,6.5,0,0,0,0,0,0,7.2,8.3,5.2,4,,.282,.239,1,20.3,100.9,100.9,100.6,8.5,11.9,5.7,11,9.9458,10.32,84.2,84.9,.104,.627,79,38,58.78,,,40.8,7,2,12.057,1,3,5,.295,37.8,19,30,72.2,42.7,50,66.9,62.7,25,68.6,47.5,3.1,.01,383,1,33.3,2,42.4,33.3,1962,6,0,,1200,.8,,0,.3,,77.77,,,30.5,30.5,1961,0,0,168,.057,.19,.136,.4,.246,.203,11,5,.298,.516,2.238,3.111,64.953,48.824,1,1,1,1,0,2,1,0,3,1,0,1,0,19.898,0,.04,.8,2.94,46,8.8,6.5,8,9,5.67,3.415,.376,.323,3,4,1,1,,1,1,,.248,2,3,3,,,0,0,38.02,21,0,2,.3975,3.85,14.5,2.228,1.844,1.064,51050,,,,2.242,.642,40000,57.6,45490,72652,93.9,7,1.3,2.917339,1.788,1.667,4.027,2.26,2.905,11,1,38.16,141,2.641,,86,8,1,31.6,21.4,47,9.8,7,10216190,3.462,,,1,2.68617,2.53424,7205982,8.1,68,,1.2,144,3.1,.206,0,65.9,80,,919,55,2.9,2.8,43,24,,45.32408,44.60611,1,23,10,1,4,4,4,2,1,1,3,2,1,2,,,1,2,2,3,2,2,2,2,2,2,,2,1,23,1,,2,,1,,2,1,,2,1,1,2,1,6,23
116,103,4.78,65.13,60.31,216,294,73.6,0,32.2,64.1,3.8,3.2,2.84,5.6,3.889,4,8.667,9,2.667,3,1.6,2.1,1.7,1.1,0,.494,.466,1,22.3,104.1,104.1,102.9,15.1,20.1,9.7,20.1,18.6092,20.32,74.6,77.2,.295,.672,95,39,62.67,,,58.3,3,2,33.333,1,2.5,3,.211,39.9,18,50,91,92.9,60,43.6,70.5,30,70,56.6,28,.032,1905,1,40.4,3,41.7,44.2,1953,2,0,,1133,.5,30.1,22,3.1,,90.5,,,,20.3,1955,0,0,149,.119,.304,.248,.26,.29,.35,3,2,.21,.096,3.163,5.373,37.379,17.511,0,1,1,2,0,2,1,1,2,0,0,1,2,28.021,.3,,1.21,4.12,65,6.1,7.2,7.9,6.1,4.25,4.103,.653,.651,3,3,0,1,,0,1,3.104,.36,3,,,58.99,3.8,0,0,41.81,20,0,1,.5502,.31,7.8,1.448,2.034,2.265,191300,.816,,,1.576,2.338,-149999,28.3,68,13748,64.1,.3,.6,4.006029,3.769,2.767,5.069,3.603,3.674,12,1,126.95,89,2.065,48,159,6.5,1,33.4,21.4,45.2,4.1,5.7,14701717,1.698,3.5,,1,3.496158,3.199689,1.34e+07,14.7,31,.71,10.4,711,28.4,.331,1,77,87,,832,69,4.9,4.9,80,51,,40.99192,36.51622,2,24,82,3,3,1,2,1,2,,4,1,1,1,1,,,2,2,2,4,2,2,2,2,2,2,2,1,24,1,,2,,1,,2,1,2,3,1,1,2,2,7,24
120,130,3.41,55.28,53.52,403,405,67.9,77310,40.5,56.2,3.3,2.8,4.17,5.7,.833,1,0,0,3.667,4,2.9,3.7,1.3,1.5,,.46,.437,-2,19.2,101.6,101.6,101.6,20,28.6,12.2,58.4,51.196,55.46,59.1,59.1,.321,.763,129,40,54.39,9.6,,40.8,1,8,31.915,1,2,2,.863,37.2,23,50,71.8,92.7,35,52.2,71.9,30,59.7,52.3,41.9,.058,2215,1,44.6,3,44.6,44.6,1960,-4,0,14.7,1712,3.8,39.9,8,.6,,48.71,,,,13.9,1946,0,0,137,.163,.356,.327,.593,.247,.387,1,0,.89,.734,5.267,6.679,24.602,11.692,0,0,1,0,0,2,1,0,2,0,0,1,0,24.967,.2,.19,1.17,3.82,77,5.9,7.5,8.3,7.6,2.33,4.056,.565,.71,4,3,0,1,.347,0,1,3.455,.37,2,0,0,62,6,2.283,3125257,34.78,25,0,1,.507,1.52,6.4,2.251,1.767,.26,23200,5.588,,,1.329,.955,-60000,60.4,114753,11442,76.9,4.1,4.6,3.678416,2.314,2.281,4.586,3.895,4.271,9,0,51.37,130,2.039,,115,7.6,5,20,30.9,49.1,1.9,4,19711291,2.121,30,,1,3.699447,3.706096,1.61e+07,18.9,48,.31,23.4,1226,41.9,.312,1,75.9,58,,840,69,3.9,4,63,40,13.1,41.12659,40.82491,1,25,29,1,2,4,3,6,2,,3,1,1,1,,,,2,1,1,4,2,2,2,2,2,,2,1,25,1,,1,,1,,2,3,,3,1,3,2,1,6,25
124,7,9.08,84.1,78.81,53,87,99,3289000,15.7,68.5,15.9,1.1,1.58,1.7,1.389,1,4.633,5,6,6,4.9,4.9,7.1,1.3,2,.888,.88,0,39.9,105.1,105.1,104.9,33.9,40.1,27.7,80.6,79.3198,80.22,61.2,57.8,.698,.289,16,41,81.38,34,58.204,100,10,112,91.017,2,7,12,.712,96.5,87,80,76.7,54.1,75,81.5,75.4,90,88.1,80.4,1200,2.278,36444,3,33.1,2,32.6,32.6,1867,10,1,31,94,75.3,,,,53.59,60.05,21.1,22.1,24.7,24.7,1917,1,100,11,.81,.882,.917,.799,.709,.959,0,0,.577,.696,12.606,12.529,.646,.513,1,2,2,2,2,2,1,2,2,1,0,0,2,89.257,16.7,5,8.17,10,141,2.1,2.2,2.1,2.3,10,7.992,.018,.026,1,1,1,1,.917,0,1,,.904,1,0,0,70.18,,1206.036,1.66e+08,12.69,81,0,1,.912,1.93,2.5,1.085,1.567,.337,65700,24.458,1.28,51.51,1.004,21.18,1175863,4.6,160349,100,8.8,7.1,.3,5.199505,6.133,6.15,5.459,5.247,7.594,12,1,64.36,8,1.371,84,114,1.6,0,2,20,78,1.6,5.8,34030589,.794,8,2.45,2,13.28968,12.83932,3.16e+07,33.3,9.4,1.04,1501.3,45070,1301.7,.834,0,,98,175,374,85,8,8.2,90,87,79.6,18.1522,17.26191,7,26,24,2,2,3,3,2,9,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,26,2,1,1,1,2,1,1,1,3,3,1,3,1,5,6,26
132,31,7.81,72.96,68.51,115,274,76.6,0,32.6,61.9,5.5,2.3,2.49,4.9,0,0,5.067,5,0,0,5.7,5.9,3.4,.5,,.534,.519,-1,21.3,101.6,101.6,101.2,.5,.6,.4,61.1,65.6512,58.04,55.7,56.7,,,,42,70.7,,,40.8,10,,41.844,1,7,12,.417,63.3,51,60,65.6,65.3,60,48.1,74.5,65,65.5,61.8,1.7,.135,3504,1,,,,50.4,1975,10,0,16.9,1185,20.6,,311,9.7,79.98,75.62,11.1,18.1,20.8,20.8,1975,1,100,27,.737,.833,.879,.861,.583,.89,0,0,,.077,,,,,1,2,2,2,2,2,2,1,2,1,0,1,0,40.653,.6,1.39,2.52,9.12,49,6.2,8.6,4.8,4.4,10,5.924,,,,2,,,,1,1,,.782,2,0,0,72.33,,0,0,14.33,58,,,.6434,,,,,.503,1200,,,,.517,2.458,-11052,21.9,0,27,,9,1,3.530511,3.75,4.121,4.41,3.855,,14,0,,,,,306,,0,9,16.2,74.8,2.5,4,516100,1.446,21,,1,4.214121,3.609488,469680.5,.5,30,.74,1.6,3193,1.6,.277,0,84.1,96,,591,,,,,,,41.60167,38.98751,1,27,34,4,4,3,4,2,6,,3,2,2,2,,1,1,2,2,3,3,2,3,2,3,2,,2,1,27,1,,2,,2,,2,,,3,1,2,3,1,6,27
